"id","name","concentration","duration","cell_line","array_platform","vehicle","vendor","vendor_catalog_id","vendor_catalog_name","drug_concept_id","cas_number","DrugBank.ID"
1,"metformin",0.00001,6,"MCF7","HG-U133A","medium","Sigma-Aldrich","D5035","1,1-dimethylbiguanide hydrochloride","C0025598",NULL,"DB00331"
2,"metformin",0.00001,6,"MCF7","HG-U133A","medium","Sigma-Aldrich","D5035","1,1-dimethylbiguanide hydrochloride","C0025598",NULL,"DB00331"
3,"metformin",0.0000001,6,"MCF7","HG-U133A","medium","Sigma-Aldrich","D5035","1,1-dimethylbiguanide hydrochloride","C0025598",NULL,"DB00331"
4,"metformin",0.001,6,"MCF7","HG-U133A","medium","Sigma-Aldrich","D5035","1,1-dimethylbiguanide hydrochloride","C0025598",NULL,"DB00331"
5,"phenformin",0.00001,6,"MCF7","HG-U133A","medium","Sigma-Aldrich","P7045","phenformin hydrochloride","C0770237",NULL,"DB00914"
6,"phenyl biguanide",0.00001,6,"MCF7","HG-U133A","medium","Sigma-Aldrich","P19906","1-phenylbiguanide hydrochloride",NULL,NULL,NULL
7,"valproic acid",0.001,6,"MCF7","HG-U133A","medium","Sigma-Aldrich","P4543","2-propylpentanoic acid",NULL,NULL,"DB00313"
8,"metformin",0.00001,6,"MCF7","HG-U133A","medium","Sigma-Aldrich","D5035","1,1-dimethylbiguanide hydrochloride","C0025598",NULL,"DB00331"
9,"estradiol",0.00000001,6,"MCF7","HG-U133A","DMSO","Sigma-Aldrich","E1024","estradiol, USP","C1330622",NULL,"DB00783"
10,"alpha-estradiol",0.00000001,6,"MCF7","HG-U133A","DMSO","Sigma-Aldrich","E8750","alpha-estradiol",NULL,NULL,NULL
11,"dexamethasone",0.000001,6,"MCF7","HG-U133A","DMSO","Sigma-Aldrich","D4902","dexamethasone","C1372970",NULL,"DB01234"
12,"mesalazine",0.0001,6,"MCF7","HG-U133A","DMSO","Sigma-Aldrich","A3537","5-aminosalicylic acid",NULL,NULL,"DB00244"
13,"chlorpropamide",0.0001,6,"MCF7","HG-U133A","DMSO","Sigma-Aldrich","C1290","chlorpropamide","C0008287",NULL,"DB00672"
14,"tolbutamide",0.0001,6,"MCF7","HG-U133A","DMSO","Sigma-Aldrich","T0891","tolbutamide","C0040374",NULL,"DB01124"
15,"tamoxifen",0.000001,6,"MCF7","HG-U133A","DMSO","Sigma-Aldrich","T9262","tamoxifen citrate","C0039286",NULL,"DB00675"
16,"chlorpropamide",0.0001,6,"MCF7","HG-U133A","DMSO","Sigma-Aldrich","C1290","chlorpropamide","C0008287",NULL,"DB00672"
17,"verapamil",0.00001,6,"MCF7","HG-U133A","DMSO","Sigma-Aldrich","V4629","(+/-)-verapamil hydrochloride","C0042523",NULL,"DB00661"
18,"dexverapamil",0.00001,6,"MCF7","HG-U133A","DMSO","Sigma-Aldrich","V106","R(+)-verapamil hydrochloride",NULL,NULL,NULL
19,"exemestane",0.00000001,6,"MCF7","HG-U133A","DMSO","LKT Laboratories","E9317","exemestane","C0851344",NULL,"DB00990"
20,"rofecoxib",0.00001,6,"MCF7","HG-U133A","DMSO","LKT Laboratories","R5722","rofecoxib","C0762662",NULL,"DB00533"
21,"amitriptyline",0.000001,6,"MCF7","HG-U133A","DMSO","Sigma-Aldrich","A8404","amitriptyline hydrochloride","C0002600",NULL,"DB00321"
22,"sulindac",0.0001,6,"MCF7","HG-U133A","DMSO","Sigma-Aldrich","S8139","sulindac","C0038792",NULL,"DB00605"
23,"tacrolimus",0.000001,6,"MCF7","HG-U133A","DMSO","LC Laboratories","F-4900","FK-506","C0085149",NULL,"DB00864"
24,"15-delta prostaglandin J2",0.00001,6,"MCF7","HG-U133A","DMSO","Calbiochem",538927,"15d-PGJ2",NULL,NULL,NULL
25,"raloxifene",0.0000001,6,"MCF7","HG-U133A","DMSO","Sigma-Aldrich","R1402","raloxifene hydrochloride","C0618111",NULL,"DB00481"
26,"nordihydroguaiaretic acid",0.000001,6,"MCF7","HG-U133A","DMSO","Sigma-Aldrich",157619,"nordihydroguaiaretic acid",NULL,NULL,NULL
27,"sulfasalazine",0.0001,6,"MCF7","HG-U133A","DMSO","Sigma-Aldrich","S0883","sulfasalazine","C0036078",NULL,"DB00795"
28,"rofecoxib",0.00001,6,"MCF7","HG-U133A","DMSO","LKT Laboratories","R5722","rofecoxib","C0762662",NULL,"DB00533"
29,"celecoxib",0.00001,6,"MCF7","HG-U133A","DMSO","LKT Laboratories","C1644","celecoxib","C0538927",NULL,"DB00482"
30,"LM-1685",0.00001,6,"MCF7","HG-U133A","DMSO","Calbiochem",236011,"cox-2 inhibitor I",NULL,NULL,NULL
31,"SC-58125",0.00001,6,"MCF7","HG-U133A","DMSO","Cayman Chemical",70655,"SC-58125",NULL,NULL,NULL
32,"tanespimycin",0.0000001,6,"MCF7","HG-U133A","DMSO","Tocris",1515,"17-AAG",NULL,NULL,NULL
33,"tomelukast",0.000001,6,"MCF7","HG-U133A","DMSO","Sigma-Aldrich","L5408","LY-171,883",NULL,NULL,NULL
34,"TTNPB",0.0000001,6,"MCF7","HG-U133A","DMSO","Sigma-Aldrich","T3757","TTNPB","EXPT03128",NULL,"DB02877"
35,"tretinoin",0.000001,6,"MCF7","HG-U133A","DMSO","Sigma-Aldrich","R2625","retinoic acid","C0040845",NULL,"DB00755"
36,"rofecoxib",0.00001,6,"MCF7","HG-U133A","DMSO","LKT Laboratories","R5722","rofecoxib","C0762662",NULL,"DB00533"
37,"celecoxib",0.00001,6,"MCF7","HG-U133A","DMSO","LKT Laboratories","C1644","celecoxib","C0538927",NULL,"DB00482"
38,"LM-1685",0.00001,6,"MCF7","HG-U133A","DMSO","Calbiochem",236011,"cox-2 inhibitor I",NULL,NULL,NULL
39,"SC-58125",0.00001,6,"MCF7","HG-U133A","DMSO","Cayman Chemical",70655,"SC-58125",NULL,NULL,NULL
40,"dexamethasone",0.000001,6,"MCF7","HG-U133A","DMSO","Sigma-Aldrich","D4902","dexamethasone","C1372970",NULL,"DB01234"
41,"rofecoxib",0.00001,6,"MCF7","HG-U133A","DMSO","LKT Laboratories","R5722","rofecoxib","C0762662",NULL,"DB00533"
